,year,state,liv_arr,combn_indv,combn_cpl,state_indv,state_cpl
43,1992,FL,"Community care program, Adult foster care Moderate",633.00,N/A,211.00,N/A
44,1992,FL,Adult congregate living facilities,633.00,N/A,211.00,N/A
45,1992,FL,Foster home Minimal,633.00,N/A,211.00,N/A
46,1992,FL,Foster home Moderate,633.00,N/A,211.00,N/A
47,1992,FL,Foster home Intensive,633.00,N/A,211.00,N/A
48,1992,FL,"Long-term residential care program for the disabled, Small group home Minimal",677.00,N/A,255.00,N/A
49,1992,FL,"Long-term residential care program for the disabled, Small group home Moderate",695.00,N/A,273.00,N/A
50,1992,FL,"Long-term residential care program for the disabled, Small group home Intensive",719.00,N/A,297.00,N/A
51,1992,FL,Large group home /Residential habilitation center A. Mild/moderate disability,592.00,N/A,170.00,N/A
52,1992,FL,Large group home /Residential habilitation center B. Severe or disruptive behavior,613.00,N/A,191.00,N/A
53,1992,FL,"Large group home /Residential habilitation center C. Deaf, blind, nonambulatory",625.00,N/A,203.00,N/A
54,1992,FL,Large group home /Residential habilitation center D. Combin. B and C,636.00,N/A,214.00,N/A
55,1992,FL,Large group home /Residential habilitation center E. Any combin. above,648.00,N/A,226.00,N/A
56,1992,FL,Medicaid facility,35.00,70.00,5.00,10.00
57,1992,HI,Living independently,426.90,641.80,4.90,8.80
58,1992,HI,Domiciliary Care I,686.90,1373.80,264.90,740.80
59,1992,HI,Domiciliary Care II,771.90,1543.80,349.90,910.80
60,1992,HI,Domiciliary Care III,873.90,1747.80,451.90,1114.80
61,1992,ID,Living Independently,492.00,678.00,70.00,45.00
62,1992,ID,Living with essential person,678.00,N/A,45.00,N/A
63,1992,ID,Room and board facility,529.00,N/A,107.00,N/A
64,1992,ID,Adult residential care home/Adult foster care home Level I,703.00,N/A,281.00,N/A
65,1992,ID,Adult residential care home/Adult foster care home Level II,762.00,N/A,340.00,N/A
66,1992,ID,Adult residential care home/Adult foster care home Level III,816.00,N/A,394.00,N/A
67,1992,ID,Semi-independent group residential facility,598.00,N/A,176.00,N/A
68,1992,IN,Licensed residential facility,789.00,N/A,367.00,N/A
69,1992,IA,Living independently Blind,444.00,677.00,22.00,44.00
70,1992,IA,Living in household of another Blind,303.34,466.00,22.00,44.00
71,1992,IA,Living with dependent person Aged and disabled,633.00,844.00,211.00,211.00
72,1992,IA,Living with dependent person Blind,655.00,888.00,233.00,255.00
73,1992,IA,Family life or boarding home,484.20,988.40,62.20,355.40
74,1992,IA,Living with dependent person in household of another Aged and disabled,492.34,633.00,211.00,211.00
75,1992,IA,Living with dependent person in household of another Blind,514.34,677.00,233.00,255.00
76,1992,IA,Family life or boarding home (1/3 reduction in Federal benefit rate applies),343.54,777.40,62.20,355.40
77,1992,IA,Residential-care,667.22,N/A,245.22,N/A
78,1992,IA,In-home health care,812.15,1413.30,390.15,780.30
79,1992,KY,Personal-care facility,720.00,N/A,298.00,N/A
80,1992,KY,Family care home,525.00,N/A,103.00,N/A
81,1992,KY,Caretaker in home,455.00,705.00,33.00,72.00
82,1992,LA,Medicaid facility,38.00,76.00,8.00,16.00
83,1992,ME,Living alone or with others,432.00,648.00,10.00,15.00
84,1992,ME,Living in the household of another,289.34,434.00,8.00,12.00
85,1992,ME,Foster home,486.00,929.00,64.00,296.00
86,1992,ME,Flat rate boarding home,654.00,1246.00,232.00,613.00
87,1992,ME,Cost reimbursement boarding home,656.00,1277.00,234.00,644.00
88,1992,ME,Medicaid facility,40.00,80.00,10.00,20.00
89,1992,MD,Care Home Minimal supervision,500.00,N/A,78.00,N/A
90,1992,MD,Care Home Moderate supervision,633.00,N/A,211.00,N/A
91,1992,MD,Care Home Extensive supervision,885.00,N/A,463.00,N/A
92,1992,MD,Care Home Specialized and intensive services,1136.00,N/A,714.00,N/A
93,1992,MD,DOMCARE,654.00,N/A,232.00,N/A
94,1992,MA,Living independently Aged,550.82,834.72,128.82,201.72
95,1992,MA,Living independently Blind,571.74,1143.48,149.74,510.48
96,1992,MA,Living independently Disabled,536.39,813.06,114.39,180.06
97,1992,MA,Shared living expenses Aged,461.26,834.72,39.26,201.72
98,1992,MA,Shared living expenses Blind,571.74,1143.48,149.74,510.48
99,1992,MA,Shared living expenses Disabled,452.40,813.06,30.40,180.06
100,1992,MA,Living in household of another Aged,385.70,637.80,104.36,215.80
101,1992,MA,Living in household of another Blind,571.74,1143.48,290.40,721.48
102,1992,MA,Living in household of another Disabled,368.92,616.18,87.58,194.18
103,1992,MA,Licensed rest home Aged and disabled,715.00,1430.00,293.00,797.00
104,1992,MA,Licensed rest home Blind,571.74,1143.48,149.74,510.48
105,1992,MA,Medicaid facility,65.00,130.00,35.00,70.00
106,1992,MI,Living independently,436.00,654.00,14.00,21.00
107,1992,MI,Living in household of another,290.67,436.00,9.33,14.00
108,1992,MI,Domiciliary-care,509.00,1018.00,87.00,385.00
109,1992,MI,Personal-care,579.50,1159.00,157.50,526.00
110,1992,MI,Home for the aged,601.30,1202.60,179.30,569.60
111,1992,MI,Living independently with essential person,647.00,865.00,14.00,21.00
112,1992,MI,Living in household of another with essential person,431.33,576.67,9.33,14.00
113,1992,MI,Medicaid facility,37.00,74.00,7.00,14.00
114,1992,MN,Living independently,503.00,762.00,81.00,129.00
115,1992,MN,Living in household of another,391.34,762.00,110.00,340.00
116,1992,MN,"Nonmedical, group residential facility",54.00,54.00,54.00,54.00
117,1992,MN,Medicaid facility,54.00,108.00,24.00,48.00
118,1992,MO,Licensed residential-care facility I,570.00,929.00,148.00,296.00
119,1992,MO,Licensed residential-care facility II,698.00,1185.00,276.00,552.00
120,1992,MO,Licensed intermediate care or skilled nursing home,790.00,1369.00,368.00,736.00
121,1992,MO,Aid to the blind,N/A,N/A,322.00,644.00
122,1992,MT,Personal-care facilities,516.00,826.00,94.00,193.00
123,1992,MT,Group home for mentally disabled,516.00,826.00,94.00,193.00
124,1992,MT,Community home for physically or developmentally disabled,516.00,826.00,94.00,193.00
125,1992,MT,Child and adult foster care,474.75,743.50,52.75,110.50
126,1992,MT,Transitional living services for developmentally disabled,448.00,690.00,26.00,57.00
127,1992,NE,Living independently,452.00,681.00,30.00,48.00
128,1992,NE,Living with an essential person,681.00,N/A,48.00,N/A
129,1992,NE,Room and board facility,403.00,806.00,121.66,384.00
130,1992,NE,Licensed domiciliary facility,505.00,1010.00,83.00,377.00
131,1992,NE,Certified adult family home,500.00,1000.00,78.00,367.00
132,1992,NE,Licensed residential-care facility,545.00,1090.00,123.00,457.00
133,1992,NE,Licensed group home for children or child caring agency,490.00,N/A,68.00,N/A
134,1992,NE,Center for developmentally disabled,453.00,N/A,31.00,N/A
135,1992,NE,Medicaid facility,40.00,80.00,10.00,20.00
136,1992,NV,Living independently Aged,458.40,707.46,36.40,74.46
137,1992,NV,Living independently Blind,531.30,1007.60,109.30,374.60
138,1992,NV,Living in household of another Aged,305.61,471.64,24.27,49.64
139,1992,NV,Living in household of another Blind,495.30,953.94,213.96,531.94
140,1992,NV,Domiciliary care Aged and blind,698.40,1341.80,276.40,708.80
141,1992,NH,Living independently,449.00,654.00,27.00,21.00
142,1992,NH,Living with an essential person,N/A,857.00,N/A,13.00
143,1992,NH,Residential care facility for adults,653.00,1306.0,231.00,462.0
144,1992,NH,Community residences,595.00,1190.0,173.00,346.0
145,1992,NH,Medicaid facility,40.00,80.0,10.00,20.0
146,1992,NJ,Licensed residential facility,572.05,1125.36,150.05,492.36
147,1992,NJ,Living alone or with others,453.25,658.36,31.25,25.36
148,1992,NJ,Living alone with an ineligible spouse,658.36,N/A,236.36,N/A
149,1992,NJ,Living with essential person,658.36,N/A,25.36,N/A
150,1992,NJ,Living in household of another,325.65,515.09,44.31,93.09
151,1992,NJ,Medicaid facility,40.00,80.00,10.00,20.00
152,1992,NM,Licensed adult residential care home,522.00,833.00,100.00,200.00
153,1992,NY,Living alone,508.00,735.50,86.00,102.50
154,1992,NY,Living with others,445.00,678.00,23.00,45.00
155,1992,NY,Congregate care I Areas A and B,688.48,1376.96,266.48,743.96
156,1992,NY,Congregate care I Area C,650.48,1300.96,228.48,667.96
157,1992,NY,Congregate care II Areas A and B,857.00,1714.00,435.00,1081.00
158,1992,NY,Congregate care II Area C,827.00,1654.00,405.00,1021.00
159,1992,NY,Congregate care III Area A,904.96,1809.92,482.96,1176.92
160,1992,NY,Congregate care III Areas B and C,880.96,1761.92,458.96,1128.92
161,1992,NY,Living in household of another,304.34,467.00,23.00,45.00
162,1992,NY,Medicaid facility,35.00,70.00,5.00,10.00
163,1992,NC,Domiciliary care (Ambulatory),832.00,1279.00,410.00,646.00
164,1992,NC,Domiciliary care (Semi-ambulatory),871.00,1318.00,449.00,685.00
165,1992,NC,Blind ineligible for SSI Not paying shelter/utilities,N/A,N/A,97.00,194.00
166,1992,NC,Blind ineligible for SSI Paying shelter/utilities,N/A,N/A,146.00,243.00
167,1992,OH,Adult foster home,779.00,1492.00,357.00,859.00
168,1992,OH,Adult family home,779.00,1492.00,357.00,859.00
169,1992,OH,Group home,879.00,1692.00,457.00,1059.00
170,1992,OH,Rest home,879.00,1692.00,457.00,1059.00
171,1992,OK,Living independently,486.00,761.00,64.00,128.00
172,1992,OR,Living independently Aged and disabled,423.70,633.00,1.70,0
173,1992,OR,Living independently Blind,448.70,658.60,26.70,25.60
174,1992,OR,Living with an ineligible spouse Aged and disabled,423.70,N/A,1.70,N/A
175,1992,OR,Living with an ineligible spouse Blind,448.70,N/A,26.70,N/A
176,1992,OR,Living with essential person Blind,658.60,N/A,25.60,N/A
177,1992,OR,Living in household of another Aged and disabled,283.04,422.00,1.70,0
178,1992,OR,Living in household of another Blind,308.04,447.60,26.70,25.60
179,1992,OR,Adult foster /residential care Aged and disabled,423.70,829.40,1.70,196.40
180,1992,OR,Adult foster /residential care Blind,448.70,879.40,26.70,246.40
181,1992,OR,Room and board Aged and disabled,423.70,829.40,1.70,196.40
182,1992,OR,Room and board Blind,448.70,879.40,26.70,246.40
183,1992,PA,Living alone,454.40,681.70,32.40,48.70
184,1992,PA,Living in household of another,313.74,470.70,32.40,48.70
185,1992,PA,Living with an essential person,681.70,917.05,48.70,73.05
186,1992,PA,Living with an essential person in household of another,470.70,635.72,48.70,73.05
187,1992,PA,Domiciliary-care facility for adults,569.30,1006.40,147.30,373.40
188,1992,PA,Personal-care boarding home,574.30,1016.40,152.30,383.40
189,1992,RI,Living alone,488.79,757.53,66.79,124.53
190,1992,RI,Living in household of another,358.74,563.27,77.40,141.27
191,1992,RI,Shelter care facility,766.34,N/A,344.34,N/A
192,1992,RI,Medicaid facility,40.00,80.00,10.00,20.00
193,1992,SC,Licensed residential-care facility,665.00,1323.00,243.00,690.00
194,1992,SD,Living independently,437.00,648.00,15.00,15.00
195,1992,SD,Assisted living facility,672.00,N/A,250.00,N/A
196,1992,SD,Adult foster-care,574.00,N/A,152.00,N/A
197,1992,UT,Living alone or with others,427.30,643.60,5.30,10.60
198,1992,VT,Living independently,486.99,751.24,64.99,118.24
199,1992,VT,Living in the household of another,324.60,477.00,43.26,55.00
200,1992,VT,"Custodial-care, licensed home with limited nursing care",680.53,1209.59,258.53,576.59
201,1992,VT,"Custodial-care, licensed community care home",640.36,1170.87,218.36,537.87
202,1992,VT,"Custodial-care, family home",523.87,957.66,101.87,324.66
203,1992,VT,Medicaid facility,45.00,90.00,15.00,30.00
204,1992,VT,Living independently with an essential person,751.24,934.42,329.24,301.42
205,1992,VT,Living in the household of another with ineligible spouse who is an essential person,486.99,N/A,205.65,N/A
206,1992,VA,Licensed home for adults Planning district 8,743.00,1486.00,321.00,853.00
207,1992,VA,Licensed home for adults All other areas,651.00,1302.00,229.00,669.00
208,1992,VA,Adult family care Planning district 8,560.00,1120.00,138.00,487.00
209,1992,VA,Adult family care All other areas,490.00,980.00,68.00,347.00
210,1992,WA,Living independently Area 1,450.00,655.00,28.00,22.00
211,1992,WA,Living independently Area 2,429.55,633.00,7.55,0
212,1992,WA,Living with ineligible spouse Area 1,614.00,N/A,192.00,N/A
213,1992,WA,Living with ineligible spouse Area 2,582.15,N/A,160.15,N/A
214,1992,WA,Living in household of another,287.15,428.30,5.81,6.30
215,1992,WA,Living in household of another with ineligible spouse,400.97,N/A,119.63,N/A
216,1992,WA,Living with one essential person Area 1,655.00,N/A,22.00,N/A
217,1992,WA,Living with one essential person Area 2,633.00,N/A,0,N/A
218,1992,WA,Living in household of another with one essential person,428.30,N/A,6.30,N/A
219,1992,WA,Medicaid facility,41.62,83.24,11.62,23.24
220,1992,WI,Living independently,514.72,778.86,92.72,145.86
221,1992,WI,Living in household of another,374.06,567.86,92.72,145.86
222,1992,WI,Living independently with an ineligible spouse,566.08,N/A,144.08,N/A
223,1992,WI,Living in household of another with ineligible spouse,425.42,N/A,144.08,N/A
224,1992,WI,Private nonmedical group home or natural residential settings,615.16,1132.02,193.16,499.02
225,1992,WI,Living independently with an essential person (nonspouse),725.72,989.86,92.72,145.86
226,1992,WI,Living in household of another with an essential person (nonspouse),514.72,708.53,92.72,145.86
227,1992,WI,Living independently with an ineligible spouse who is an essential person,777.08,N/A,144.08,N/A
228,1992,WI,Living in household of another with an ineligible spouse who is an essential person,566.08,N/A,144.08,N/A
229,1992,WY,Living independently,442.00,673.00,20.00,40.00
230,1992,WY,Living in the household of another,301.34,462.00,20.00,40.00
