,year,state,liv_arr,combn_indv,combn_cpl,state_indv,state_cpl
55,1994,ID,Semi-independent group residential facility,589.00,N/A,143.00,N/A
56,1994,IN,Licensed residential facility,789.00,N/A,343.00,N/A
57,1994,IA,Living independently Blind,468.00,713.00,22.00,44.00
58,1994,IA,Living in household of another Blind,319.34,490.00,22.00,44.00
59,1994,IA,Living with dependent person Aged and disabled,669.00,892.00,223.00,223.00
60,1994,IA,Living with dependent person Blind,691.00,936.00,245.00,267.00
61,1994,IA,Family life or boarding home,508.20,1036.40,62.20,367.40
62,1994,IA,Living with dependent person in household of another Aged and disabled,520.34,669.00,223.00,223.00
63,1994,IA,Living with dependent person in household of another Blind,542.34,713.00,245.00,267.00
64,1994,IA,Family life or boarding home (1/3 reduction in Federal benefit rate applies),359.54,813.40,62.20,367.40
65,1994,IA,Residential-care,677.42,N/A,231.42,N/A
66,1994,IA,In-home health care,836.15,1449.30,390.15,780.30
67,1994,KY,Personal-care facility,780.00,N/A,334.00,N/A
68,1994,KY,Family care home,585.00,N/A,139.00,N/A
69,1994,KY,Caretaker in home,479.00,741.00,33.00,72.00
70,1994,LA,Medicaid facility,38.00,76.00,8.00,16.00
71,1994,ME,Living alone or with others,456.00,684.00,10.00,15.00
72,1994,ME,Living in the household of another,305.34,458.00,8.00,12.00
73,1994,ME,Foster home,495.00,942.00,49.00,273.00
74,1994,ME,Flat rate boarding home,663.00,1259.00,217.00,590.00
75,1994,ME,Cost reimbursement boarding home,665.00,1290.00,219.00,621.00
76,1994,ME,Medicaid facility,40.00,80.00,10.00,20.00
77,1994,MD,Care Home Minimal supervision,512.00,N/A,66.00,N/A
78,1994,MD,Care Home Moderate supervision,633.00,N/A,187.00,N/A
79,1994,MD,Care Home Extensive supervision,909.00,N/A,463.00,N/A
80,1994,MD,Care Home Specialized and intensive services,1136.00,N/A,690.00,N/A
81,1994,MD,DOMCARE,654.00,N/A,208.00,N/A
82,1994,MA,Living independently Aged,574.82,870.72,128.82,201.72
83,1994,MA,Living independently Blind,595.74,1191.48,149.74,522.48
84,1994,MA,Living independently Disabled,560.39,849.06,114.39,180.06
85,1994,MA,Shared living expenses Aged,485.26,870.72,39.26,201.72
86,1994,MA,Shared living expenses Blind,595.74,1191.48,149.74,522.48
87,1994,MA,Shared living expenses Disabled,476.40,849.06,30.40,180.06
88,1994,MA,Living in household of another Aged,401.70,661.80,104.36,215.80
89,1994,MA,Living in household of another Blind,595.74,1191.48,298.40,745.48
90,1994,MA,Living in household of another Disabled,384.92,640.18,87.58,194.18
91,1994,MA,Licensed rest home Aged and disabled,739.00,1478.00,293.00,809.00
92,1994,MA,Licensed rest home Blind,595.74,1191.48,149.74,522.48
93,1994,MA,Medicaid facility,65.00,130.00,35.00,70.00
94,1994,MI,Living independently,460.00,690.00,14.00,21.00
95,1994,MI,Living in household of another,306.67,460.00,9.33,14.00
96,1994,MI,Domiciliary-care,521.00,1042.00,75.00,373.00
97,1994,MI,Personal-care,591.50,1183.00,145.50,514.00
98,1994,MI,Home for the aged,613.30,1226.60,167.30,557.60
99,1994,MI,Living independently with essential,683.00,913.00,14.00,21.00
100,1994,MI,Living in household with essential of another,455.33,608.67,9.33,14.00
101,1994,MI,Medicaid facility,37.00,74.00,7.00,14.00
102,1994,MN,Living independently Entitlement prior to 1994,527.00,795.00,81.00,126.00
103,1994,MN,Living independently Entitlement 1994 or later,527.00,780.00,81.00,111.00
104,1994,MN,Living in household of another Entitlement prior to 1994,407.34,790.00,110.00,344.00
105,1994,MN,Living in household of another Entitlement 1994 or later,407.34,527.00,110.00,81.00
106,1994,MN,"Nonmedical, group residential facility",57.00,57.00,57.00,57.00
107,1994,MN,Medicaid facility,57.00,114.00,27.00,54.00
108,1994,MO,Licensed residential-care facility I,594.00,965.00,148.00,296.00
109,1994,MO,Licensed residential-care facility II,722.00,1221.00,276.00,552.00
110,1994,MO,Licensed intermediate care or skilled nursing home,814.00,1405.00,368.00,736.00
111,1994,MO,Aid to the blind,N/A,N/A,322.00,644.00
112,1994,MT,Personal-care facilities,540.00,862.00,94.00,193.00
113,1994,MT,Group home for mentally disabled,540.00,862.00,94.00,193.00
114,1994,MT,Community home for physically or developmentally disabled,540.00,862.00,94.00,193.00
115,1994,MT,Child and adult foster care,498.75,779.50,52.75,110.50
116,1994,MT,Transitional living services for developmentally disabled,472.00,726.00,26.00,57.00
117,1994,NE,Living independently,467.00,709.00,21.00,40.00
118,1994,NE,Living with an essential person,709.00,N/A,40.00,N/A
119,1994,NE,Room and board facility,408.00,816.00,110.66,370.00
120,1994,NE,Licensed domiciliary facility,570.00,1140.00,124.00,471.00
121,1994,NE,Certified adult family home,565.00,1130.00,119.00,461.00
122,1994,NE,Licensed residential-care facility,625.00,1250.00,179.00,581.00
123,1994,NE,Licensed group home for children or child caring agency,550.00,N/A,104.00,N/A
124,1994,NE,Center for developmentally disabled,458.00,N/A,12.00,N/A
125,1994,NE,Medicaid facility,40.00,80.00,10.00,20.00
126,1994,NV,Living independently Aged,482.40,743.46,36.40,74.46
127,1994,NV,Living independently Blind,555.30,1043.60,109.30,374.60
128,1994,NV,Living in household of another Aged,321.61,495.64,24.27,49.64
129,1994,NV,Living in household of another Blind,511.30,977.94,213.96,531.94
130,1994,NV,Domiciliary care Aged and blind,757.00,1452.00,311.00,783.00
131,1994,NH,Living independently,473.00,690.00,27.00,21.00
132,1994,NH,Living with an essential person,N/A,905.00,N/A,13.00
133,1994,NH,Residential care facility for adults,653.00,1306.0,207.00,414.0
134,1994,NH,Enhanced family care facilities,653.00,1306.0,207.00,414.0
135,1994,NH,Community residences Nonsubsidized,595.00,1190.0,149.00,298.0
136,1994,NH,Community residences Subsidized,535.00,1070.0,89.00,178.0
137,1994,NH,Medicaid facility,40.00,80.0,10.00,20.0
138,1994,NJ,Licensed residential facility,596.05,1173.36,150.05,504.36
139,1994,NJ,Living alone or with others,477.25,694.36,31.25,25.36
140,1994,NJ,Living alone with an ineligible spouse,694.36,N/A,248.36,N/A
141,1994,NJ,Living with essential person,694.36,N/A,25.36,N/A
142,1994,NJ,Living in household of another,341.65,539.09,44.31,93.09
143,1994,NJ,Medicaid facility,40.00,80.00,10.00,20.00
144,1994,NM,Licensed adult residential care home,546.00,869.00,100.00,200.00
145,1994,NY,Living alone,532.00,771.50,86.00,102.50
146,1994,NY,Living with others,469.00,714.00,23.00,45.00
147,1994,NY,Congregate care I Areas A and B,712.48,1424.96,266.48,755.96
148,1994,NY,Congregate care I Area C,674.48,1348.96,228.48,679.96
149,1994,NY,Congregate care II Areas A and B,881.00,1762.00,435.00,1093.00
150,1994,NY,Congregate care II Area C,851.00,1702.00,405.00,1033.00
151,1994,NY,Congregate care III Area A,928.96,1857.92,482.96,1188.92
152,1994,NY,Congregate care III Areas B and C,904.96,1809.92,458.96,1140.92
153,1994,NY,Living in household of another,320.34,491.00,23.00,45.00
154,1994,NY,Medicaid facility,35.00,70.00,5.00,10.00
155,1994,NC,Domiciliary care (Ambulatory),965.00,1411.00,519.00,742.00
156,1994,NC,Domiciliary care (Semi-ambulatory),1006.00,1452.00,560.00,783.00
157,1994,NC,Blind ineligible for SSI Not paying shelter/utilities,N/A,N/A,97.00,194.00
158,1994,NC,Blind ineligible for SSI Paying shelter/utilities,N/A,N/A,146.00,243.00
159,1994,OH,Adult foster home,802.00,1528.00,356.00,859.00
160,1994,OH,Adult family home,802.00,1528.00,356.00,859.00
161,1994,OH,Apartment or room,602.00,1128.00,156.00,459.00
162,1994,OH,Community alternative home,802.00,1528.00,356.00,859.00
163,1994,OH,Group home,902.00,1728.00,456.00,1059.00
164,1994,OH,Residential facility,802.00,1528.00,356.00,859.00
165,1994,OH,Rest home,902.00,1728.00,456.00,1059.00
166,1994,OK,Living independently,503.00,783.00,57.00,114.00
167,1994,OR,Living independently Aged and disabled,447.70,669.00,1.70,0
168,1994,OR,Living independently Blind,472.70,694.60,26.70,25.60
169,1994,OR,Living with an ineligible spouse Aged and disabled,447.70,N/A,1.70,N/A
170,1994,OR,Living with an ineligible spouse Blind,472.70,N/A,26.70,N/A
171,1994,OR,Living with essential person Blind,694.60,N/A,25.60,N/A
172,1994,OR,Living in household of another Aged and disabled,299.04,446.00,1.70,0
173,1994,OR,Living in household of another Blind,324.04,471.60,26.70,25.60
174,1994,OR,Adult foster/residential care Aged and disabled,447.70,865.40,1.70,196.40
175,1994,OR,Adult foster/residential care Blind,472.70,915.40,26.70,246.40
176,1994,OR,Room and board Aged and disabled,447.70,865.40,1.70,196.40
177,1994,OR,Room and board Blind,472.70,915.40,26.70,246.40
178,1994,PA,Living alone,478.40,717.70,32.40,48.70
179,1994,PA,Living in household of another,329.74,494.70,32.40,48.70
180,1994,PA,Living with an essential person,717.70,965.05,48.70,73.05
181,1994,PA,Living with an essential person in household of another,494.70,667.72,48.70,73.05
182,1994,PA,Domiciliary-care facility for adults,775.30,1406.40,329.30,737.40
183,1994,PA,Personal-care boarding home,780.30,1416.40,334.30,747.40
184,1994,RI,Living alone,510.35,789.50,64.35,120.50
185,1994,RI,Living in household of another,371.94,582.50,74.60,136.50
186,1994,RI,Shelter care facility,778.00,40.00,N/A,80.00
187,1994,RI,Medicaid facility,332.00,10.00,N/A,20.00
188,1994,SC,Licensed residential-care facility,707.00,1414.00,261.00,745.00
189,1994,SD,Living independently,461.00,684.00,15.00,15.00
190,1994,SD,Assisted living facility,696.00,N/A,250.00,N/A
191,1994,SD,Adult foster-care,598.00,N/A,152.00,N/A
192,1994,UT,Living alone or with others,447.00,673.60,1.00,4.60
193,1994,UT,Living in household of another,300.47,455.73,3.13,9.73
194,1994,VT,Living independently,500.87,772.06,54.87,103.06
195,1994,VT,Living in the household of another,333.85,490.87,36.51,44.87
196,1994,VT,Level III-residential care home,694.41,1230.41,248.41,561.41
197,1994,VT,Level IV-residential care home,654.24,1191.69,208.24,522.69
198,1994,VT,"Custodial-care, family home",537.75,978.48,91.75,309.48
199,1994,VT,Medicaid facility,45.00,90.00,15.00,30.00
200,1994,VT,Living independently with an essential person,772.06,948.01,326.06,279.01
201,1994,VT,In the household of another with ineligible spouse who is an essential person,500.87,N/A,203.53,N/A
202,1994,VA,Licensed home for adults Planning district 8,765.00,1530.00,319.00,861.00
203,1994,VA,Licensed home for adults All other areas,671.00,1342.00,225.00,673.00
204,1994,VA,Adult family care Planning district 8,576.00,1152.00,130.00,483.00
205,1994,VA,Adult family care All other areas,506.00,1012.00,60.00,343.00
206,1994,WA,Living independently Area 1,474.00,691.00,28.00,22.00
207,1994,WA,Living independently Area 2,453.55,669.00,7.55,0
208,1994,WA,Living with ineligible spouse Area 1,638.00,N/A,192.00,N/A
209,1994,WA,Living with ineligible spouse Area 2,606.15,N/A,160.15,N/A
210,1994,WA,Living in household of another,303.15,452.30,5.81,6.30
211,1994,WA,Living in household of another with ineligible spouse,416.97,N/A,119.63,N/A
212,1994,WA,Living with one essential person Area 1,691.00,N/A,22.00,N/A
213,1994,WA,Living with one essential person Area 2,669.00,N/A,0,N/A
214,1994,WA,Living in household of another with one essential person,452.30,N/A,6.30,N/A
215,1994,WA,Medicaid facility,41.62,83.24,11.62,23.24
216,1994,WI,Living independently,530.70,802.67,84.70,133.67
217,1994,WI,Living in household of another,382.04,579.67,84.70,133.67
218,1994,WI,Living independently with an ineligible spouse,578.03,N/A,132.03,N/A
219,1994,WI,Living in household of another with ineligible spouse,434.04,N/A,136.70,N/A
220,1994,WI,Private nonmedical group home or natural residential settings,627.97,1152.26,181.97,483.26
221,1994,WI,Living independently with an essential person (nonspouse),753.70,1025.67,84.70,133.67
222,1994,WI,Living in household of another with an essential person (nonspouse),530.70,728.34,84.70,133.67
223,1994,WI,Living independently with an ineligible spouse who is an essential person,801.03,N/A,132.03,N/A
224,1994,WI,Living in household of another with an ineligible spouse who is an essential person,582.70,N/A,136.70,N/A
225,1994,WY,Living independently,455.70,688.40,9.70,19.40
226,1994,WY,Living in the household of another,307.04,465.07,9.70,19.40
